Id;x;y;Trait;D;R;M;C;Name;Alias;Color
1;526;401;10;10;30;5;1.0;Agent A;AgA;blue
2;537;12;10;10;30;5;1.0;Agent A;AgA;blue
3;143;439;10;10;30;5;1.0;Agent A;AgA;blue
4;265;358;10;10;30;5;1.0;Agent A;AgA;blue
5;246;389;10;10;30;5;1.0;Agent A;AgA;blue
6;611;743;10;10;30;5;1.0;Agent A;AgA;blue
7;96;191;10;10;30;5;1.0;Agent A;AgA;blue
8;362;455;10;10;30;5;1.0;Agent A;AgA;blue
9;73;435;10;10;30;5;1.0;Agent A;AgA;blue
10;22;163;10;10;30;5;1.0;Agent A;AgA;blue
11;126;158;10;20;30;5;1.0;Agent B;AgB;grey
12;537;436;10;20;30;5;1.0;Agent B;AgB;grey
13;130;526;10;20;30;5;1.0;Agent B;AgB;grey
14;286;108;10;20;30;5;1.0;Agent B;AgB;grey
15;269;737;10;20;30;5;1.0;Agent B;AgB;grey
16;319;354;10;20;30;5;1.0;Agent B;AgB;grey
17;672;497;10;20;30;5;1.0;Agent B;AgB;grey
18;355;643;10;20;30;5;1.0;Agent B;AgB;grey
19;100;660;10;20;30;5;1.0;Agent B;AgB;grey
20;611;37;10;20;30;5;1.0;Agent B;AgB;grey
21;436;72;10;30;30;5;1.0;Agent C;AgC;orange
22;612;56;10;30;30;5;1.0;Agent C;AgC;orange
23;164;412;10;30;30;5;1.0;Agent C;AgC;orange
24;333;395;10;30;30;5;1.0;Agent C;AgC;orange
25;480;483;10;30;30;5;1.0;Agent C;AgC;orange
26;745;138;10;30;30;5;1.0;Agent C;AgC;orange
27;648;556;10;30;30;5;1.0;Agent C;AgC;orange
28;692;66;10;30;30;5;1.0;Agent C;AgC;orange
29;420;491;10;30;30;5;1.0;Agent C;AgC;orange
30;792;423;10;30;30;5;1.0;Agent C;AgC;orange
31;233;68;10;50;30;5;1.0;Agent D;AgD;red
32;365;298;10;50;30;5;1.0;Agent D;AgD;red
33;617;87;10;50;30;5;1.0;Agent D;AgD;red
34;108;425;10;50;30;5;1.0;Agent D;AgD;red
35;721;245;10;50;30;5;1.0;Agent D;AgD;red
36;480;532;10;50;30;5;1.0;Agent D;AgD;red
37;653;630;10;50;30;5;1.0;Agent D;AgD;red
38;523;105;10;50;30;5;1.0;Agent D;AgD;red
39;461;139;10;50;30;5;1.0;Agent D;AgD;red
40;444;614;10;50;30;5;1.0;Agent D;AgD;red
