Id_node;y;x;Id_place;Geom
101;102;44;23300.0;Point (486209.9497 6706839.9352)
158;169;122;41347.0;Point (486365.9497 6706705.9352)
96;99;12;23260.0;Point (486145.9497 6706845.9352)
109;112;47;23266.0;Point (486215.9497 6706819.9352)
193;212;79;41315.0;Point (486279.9497 6706619.9352)
107;106;217;41328.0;Point (486555.9497 6706831.9352)
137;141;37;23285.0;Point (486195.9497 6706761.9352)
168;181;143;41351.0;Point (486407.9497 6706681.9352)
95;95;159;41359.0;Point (486439.9497 6706853.9352)
112;115;215;40996.0;Point (486551.9497 6706813.9352)
135;138;84;23272.0;Point (486289.9497 6706767.9352)
50;55;189;40967.0;Point (486499.9497 6706933.9352)
130;132;208;40992.0;Point (486537.9497 6706779.9352)
13;10;72;23447.0;Point (486265.9497 6707023.9352)
1;0;29;23392.0;Point (486179.9497 6707043.9352)
85;89;158;41335.0;Point (486437.9497 6706865.9352)
149;159;107;41348.0;Point (486335.9497 6706725.9352)
180;193;194;41374.0;Point (486509.9497 6706657.9352)
82;85;10;23319.0;Point (486141.9497 6706873.9352)
46;51;41;23308.0;Point (486203.9497 6706941.9352)
128;131;41;23302.0;Point (486203.9497 6706781.9352)
185;201;188;41318.0;Point (486497.9497 6706641.9352)
163;173;173;41352.0;Point (486467.9497 6706697.9352)
61;63;64;23311.0;Point (486249.9497 6706917.9352)
5;0;158;23446.0;Point (486437.9497 6707043.9352)
104;106;45;23301.0;Point (486211.9497 6706831.9352)
127;129;121;41334.0;Point (486363.9497 6706785.9352)
90;91;11;23310.0;Point (486143.9497 6706861.9352)
21;23;35;23214.0;Point (486191.9497 6706997.9352)
164;174;52;23158.0;Point (486225.9497 6706695.9352)
17;16;106;23454.0;Point (486333.9497 6707011.9352)
37;43;168;41373.0;Point (486457.9497 6706957.9352)
60;63;26;23316.0;Point (486173.9497 6706917.9352)
169;182;30;23146.0;Point (486181.9497 6706679.9352)
122;124;57;23257.0;Point (486235.9497 6706795.9352)
123;125;75;23288.0;Point (486271.9497 6706793.9352)
176;191;102;41323.0;Point (486325.9497 6706661.9352)
0;0;22;23238.0;Point (486165.9497 6707043.9352)
45;48;216;40970.0;Point (486553.9497 6706947.9352)
