Name;Dtype;Description;Units;Category
Date;date;Date of record;-;field
Id;unique integer number;Category numerical identifyier;-;field
Name;text;Category name;-;field
Alias;text;Category alias (one-word only);-;field
Color;text;CSS color name available in [matplotlib](https://matplotlib.org/stable/gallery/color/named_colors.html) (ex: `blue`) or hexadecimal code of color (ex: `#5234eb`).;-;field
D;positive real number;Critical Hamming Distance of trait orientation for agent-place interaction;-;parameter
R;positive integer number;Critical radius distance for agent movement.;cell units;parameter
M;positive integer number;Agent memory lag time.;step units;parameter
C;positive real number;Agent or Place openness to contamination, degree of interaction influence;-;parameter
x;positive integer number;Position coordinate in the x axis;cell units;variable
y;positive integer number;Position coordinate in the y axis;cell units;variable
Trait;positive real number;Trait orientation value;trait units;variable
Metadata;text;Name of metadata;-;field
Value;miscellaneus;Value of data;-;field
Agents File;text;File path to the agents parameter file (ex: C:/data/param_agents.txt);-;keyword
Places File;text;File path to the places parameter file (ex: C:/data/param_places.txt);-;keyword
Input Folder;text;Folder path to the input data folder (ex: C:/data);-;keyword
Run Folder;text;Folder path to the folder to store simulation outputs (ex: C:/output);-;keyword
Steps;positive integer number;Number of time steps in the simulation;-;parameter
Stat;text;Keyword for `statistic`;-;keyword
Sum;positive real number;Keyword for `sum`;-;keyword
Mean;positive real number;Keyword for `Mean`;-;keyword
Med;positive real number;Keyword for `Median`;-;keyword
Min;positive real number;Keyword for `Minimum`;-;keyword
Max;positive real number;Keyword for `Maximum`;-;keyword
p05;positive real number;Keyword for `5% percentile`;-;keyword
p95;positive real number;Keyword for `95% percentile`;-;keyword
SD;positive real number;Keyword for `Standard Deviation`;-;keyword
Count;positive integer number;Keyword for `Counting`;-;keyword
A_Id_x;positive integer number;Position coordinate in the x axis of Agent A_Id (ex: A_12_x);cell units;variable
A_Id_y;positive integer number;Position coordinate in the y axis of Agent A_Id (ex: A_12_y);cell units;variable
P_Id_x;positive integer number;Position coordinate in the x axis of Place P_Id (ex: P_10_x);cell units;variable
A_Id_Trait;positive real number;Trait orientation of Agent A_Id (ex: A_12_Trait);trait units;variable
P_Id_Trait;positive integer number;Trait orientation of Place P_Id (ex: P_10_Trait);trait units;variable
Step;positive integer number;Time step number;-;field
Count;positive integer number;Counting units;-;field
H;real number;Shannon Entropy;Bits;field
H_agents;real number;Shannon Entropy of Agents;Bits;field
H_places;real number;Shannon Entropy of Places;Bits;field
Id_node;unique integer number;Category numerical identifyier of Nodes;-;field
Id_node_src;unique integer number;Category numerical identifyier of Source Node in Network;-;field
Id_node_dst;unique integer number;Category numerical identifyier of Destiny Node in Network;-;field
Id_place;unique integer number;Category numerical identifyier of Place in Network;-;field
Id_place_src;unique integer number;Category numerical identifyier of Source Place in Network;-;field
Id_place_dst;unique integer number;Category numerical identifyier of Destiny Place in Network;-;field
Path_x;text;Array of integers of x coordinates concatenated by hyphen;-;field
Path_y;text;Array of integers of y coordinates concatenated by hyphen;-;field
Geom;text;Feature geometry encoded in Well Known Text;-;field
Euclidean;positive real number;Euclidean distance;map units;field
AStar;positive real number;Non-euclidean distance computed by the A-Star algorithm;map units;field
Parameter;text;Name of variable set as a parameter in the sensitivity analysis;-;field
Grid;positive integer number;Number of segments for sampling the parameter space;-;field
Weighting;text;Keyword for weighting function. Options: `uniform`, `linear`, `exponential` and `gravity`;-;keyword
