Id_node_src;x_src;y_src;Id_node_dst;x_dst;y_dst;Euclidean;AStar;Path_x;Path_y;Id_place_src;Id_place_dst;Geom
0;2;1;1;3;1;1.0;1.0;1-1;2-3;2.0;3.0;LineString(485704.375 6707407.5, 485704.375 6707402.5)
0;2;1;2;5;1;3.0;3.828427;1-0-0-1;2-3-4-5;2.0;4.0;LineString(485704.375 6707407.5, 485699.375 6707402.5, 485699.375 6707397.5, 485704.375 6707392.5)
0;2;1;3;6;1;4.0;4.8284273;1-0-0-0-1;2-3-4-5-6;2.0;5.0;LineString(485704.375 6707407.5, 485699.375 6707402.5, 485699.375 6707397.5, 485699.375 6707392.5, 485704.375 6707387.5)
0;2;1;4;7;1;5.0;5.8284273;1-0-0-0-0-1;2-3-4-5-6-7;2.0;6.0;LineString(485704.375 6707407.5, 485699.375 6707402.5, 485699.375 6707397.5, 485699.375 6707392.5, 485699.375 6707387.5, 485704.375 6707382.5)
0;2;1;5;1;2;1.4142135;1.4142135;1-2;2-1;2.0;7.0;LineString(485704.375 6707407.5, 485709.375 6707412.5)
0;2;1;6;3;2;1.4142135;1.4142135;1-2;2-3;2.0;8.0;LineString(485704.375 6707407.5, 485709.375 6707402.5)
0;2;1;7;5;2;3.1622777;4.2426405;1-0-1-2;2-3-4-5;2.0;9.0;LineString(485704.375 6707407.5, 485699.375 6707402.5, 485704.375 6707397.5, 485709.375 6707392.5)
0;2;1;8;7;2;5.0990195;11.071068;1-0-1-2-3-4-4-4-3-2;2-3-4-4-4-5-6-7-8-7;2.0;10.0;LineString(485704.375 6707407.5, 485699.375 6707402.5, 485704.375 6707397.5, 485709.375 6707397.5, 485714.375 6707397.5, 485719.375 6707392.5, 485719.375 6707387.5, 485719.375 6707382.5, 485714.375 6707377.5, 485709.375 6707382.5)
0;2;1;9;1;3;2.236068;2.4142137;1-2-3;2-2-1;2.0;11.0;LineString(485704.375 6707407.5, 485709.375 6707407.5, 485714.375 6707412.5)
0;2;1;10;2;3;2.0;2.0;1-2-3;2-2-2;2.0;12.0;LineString(485704.375 6707407.5, 485709.375 6707407.5, 485714.375 6707407.5)
0;2;1;11;3;3;2.236068;2.4142137;1-2-3;2-2-3;2.0;13.0;LineString(485704.375 6707407.5, 485709.375 6707407.5, 485714.375 6707402.5)
0;2;1;12;5;3;3.6055512;5.2426405;1-0-1-2-3;2-3-4-4-5;2.0;14.0;LineString(485704.375 6707407.5, 485699.375 6707402.5, 485704.375 6707397.5, 485709.375 6707397.5, 485714.375 6707392.5)
0;2;1;13;6;3;4.472136;7.656854;1-0-1-2-3-4-3;2-3-4-4-4-5-6;2.0;15.0;LineString(485704.375 6707407.5, 485699.375 6707402.5, 485704.375 6707397.5, 485709.375 6707397.5, 485714.375 6707397.5, 485719.375 6707392.5, 485714.375 6707387.5)
