Id_node;x;y;Id_place;Geom
0;2;1;2.0;Point (485709.375 6707412.5)
1;3;1;3.0;Point (485714.375 6707412.5)
2;5;1;4.0;Point (485724.375 6707412.5)
3;6;1;5.0;Point (485729.375 6707412.5)
4;7;1;6.0;Point (485734.375 6707412.5)
5;1;2;7.0;Point (485704.375 6707407.5)
6;3;2;8.0;Point (485714.375 6707407.5)
7;5;2;9.0;Point (485724.375 6707407.5)
8;7;2;10.0;Point (485734.375 6707407.5)
9;1;3;11.0;Point (485704.375 6707402.5)
10;2;3;12.0;Point (485709.375 6707402.5)
11;3;3;13.0;Point (485714.375 6707402.5)
12;5;3;14.0;Point (485724.375 6707402.5)
13;6;3;15.0;Point (485729.375 6707402.5)
14;7;3;16.0;Point (485734.375 6707402.5)
15;1;5;17.0;Point (485704.375 6707392.5)
16;2;5;18.0;Point (485709.375 6707392.5)
17;3;5;19.0;Point (485714.375 6707392.5)
18;5;5;20.0;Point (485724.375 6707392.5)
19;6;5;21.0;Point (485729.375 6707392.5)
20;7;5;22.0;Point (485734.375 6707392.5)
21;1;6;23.0;Point (485704.375 6707387.5)
22;3;6;24.0;Point (485714.375 6707387.5)
23;5;6;25.0;Point (485724.375 6707387.5)
24;7;6;26.0;Point (485734.375 6707387.5)
25;1;7;27.0;Point (485704.375 6707382.5)
26;2;7;28.0;Point (485709.375 6707382.5)
27;3;7;29.0;Point (485714.375 6707382.5)
28;5;7;30.0;Point (485724.375 6707382.5)
29;6;7;31.0;Point (485729.375 6707382.5)
30;7;7;32.0;Point (485734.375 6707382.5)
