Id;x;Trait;C;Name;Alias;Color
1;0;5;0.1;Place A;PA;blue
2;1;5;0.1;Place A;PA;blue
3;2;5;0.1;Place A;PA;blue
4;3;5;0.1;Place A;PA;blue
5;4;5;0.1;Place A;PA;blue
6;5;5;0.1;Place A;PA;blue
7;6;5;0.1;Place A;PA;blue
8;7;5;0.1;Place A;PA;blue
9;8;5;0.1;Place A;PA;blue
10;9;5;0.1;Place A;PA;blue
11;10;5;0.1;Place A;PA;blue
12;11;5;0.1;Place A;PA;blue
13;12;5;0.1;Place A;PA;blue
14;13;5;0.1;Place A;PA;blue
15;14;5;0.1;Place A;PA;blue
16;15;5;0.1;Place A;PA;blue
17;16;5;0.1;Place A;PA;blue
18;17;5;0.1;Place A;PA;blue
19;18;5;0.1;Place A;PA;blue
20;19;5;0.1;Place A;PA;red
21;20;5;0.1;Place B;PB;red
22;21;5;0.1;Place B;PB;red
23;22;5;0.1;Place B;PB;red
24;23;5;0.1;Place B;PB;red
25;24;5;0.1;Place B;PB;red
26;25;5;0.1;Place B;PB;red
27;26;5;0.1;Place B;PB;red
28;27;5;0.1;Place B;PB;red
29;28;5;0.1;Place B;PB;red
30;29;5;0.1;Place B;PB;red
31;30;5;0.1;Place B;PB;red
32;31;5;0.1;Place B;PB;red
33;32;5;0.1;Place B;PB;red
34;33;5;0.1;Place B;PB;red
35;34;5;0.1;Place B;PB;red
36;35;5;0.1;Place B;PB;red
37;36;5;0.1;Place B;PB;red
38;37;5;0.1;Place B;PB;red
39;38;5;0.1;Place B;PB;red
40;39;5;0.1;Place B;PB;red
