Id;x;Trait;C;Name;Alias;Color
1;0;10.263800082090642;0.1;Place A;PA;blue
2;1;5.615619196714282;0.1;Place A;PA;blue
3;2;10.880599978926014;0.1;Place A;PA;blue
4;3;14.166679910097368;0.1;Place A;PA;blue
5;4;3.76852651781194;0.1;Place A;PA;blue
6;5;4.76813068656856;0.1;Place A;PA;blue
7;6;15.220537734344639;0.1;Place A;PA;blue
8;7;5.689908229995313;0.1;Place A;PA;blue
9;8;12.046071819367574;0.1;Place A;PA;blue
10;9;11.532891049193335;0.1;Place A;PA;blue
11;10;14.007980010051345;0.1;Place A;PA;blue
12;11;5.967074257880513;0.1;Place A;PA;blue
13;12;4.7017195720738965;0.1;Place A;PA;blue
14;13;13.119901912531992;0.1;Place A;PA;blue
15;14;3.2029617157139763;0.1;Place A;PA;blue
16;15;2.48266136439564;0.1;Place A;PA;blue
17;16;2.9595956975553954;0.1;Place A;PA;blue
18;17;2.434647374836465;0.1;Place A;PA;blue
19;18;2.6396673172610168;0.1;Place A;PA;blue
20;19;3.516466708974913;0.1;Place A;PA;red
21;20;2.373013801520825;0.1;Place B;PB;red
22;21;3.506984592714363;0.1;Place B;PB;red
23;22;3.479338239310509;0.1;Place B;PB;red
24;23;3.276042483035429;0.1;Place B;PB;red
25;24;2.6639556252378638;0.1;Place B;PB;red
26;25;2.927880206017587;0.1;Place B;PB;red
27;26;3.182037172794281;0.1;Place B;PB;red
28;27;2.706355356475567;0.1;Place B;PB;red
29;28;3.7751118317145003;0.1;Place B;PB;red
30;29;4.209700132645874;0.1;Place B;PB;red
31;30;4.428281075976054;0.1;Place B;PB;red
32;31;4.258210411309325;0.1;Place B;PB;red
33;32;4.722995685621642;0.1;Place B;PB;red
34;33;4.422457922058943;0.1;Place B;PB;red
35;34;5.617980113414946;0.1;Place B;PB;red
36;35;5.05020974967109;0.1;Place B;PB;red
37;36;7.014833644714424;0.1;Place B;PB;red
38;37;3.215454677777739;0.1;Place B;PB;red
39;38;5.463058117621738;0.1;Place B;PB;red
40;39;11.18441397395982;0.1;Place B;PB;red
