Id;Trait;C_p;Name;Alias;Color
0;0;0.0;Outdoors;P0;white
1;10;0.1;Place 1;P1;blue
2;1;0.1;Place 2;P2;blue
3;1;0.1;Place 3;P3;blue
4;9;0.1;Place 4;P4;blue
5;6;0.1;Place 5;P5;blue
6;7;0.1;Place 6;P6;blue
7;7;0.1;Place 7;P7;blue
8;4;0.1;Place 8;P8;blue
9;9;0.1;Place 9;P9;blue
10;3;0.2;Place 10;P10;blue
11;4;0.2;Place 11;P11;blue
12;3;0.2;Place 12;P12;blue
13;9;0.2;Place 13;P13;blue
14;3;0.2;Place 14;P14;blue
15;5;0.2;Place 15;P15;blue
16;2;0.2;Place 16;P16;blue
17;9;0.2;Place 17;P17;blue
18;4;0.2;Place 18;P18;blue
19;4;0.2;Place 19;P19;blue
20;7;0.2;Place 20;P20;blue
21;10;0.2;Place 21;P21;blue
22;1;0.2;Place 22;P22;blue
23;7;0.2;Place 23;P23;blue
24;3;0.2;Place 24;P24;blue
25;7;0.2;Place 25;P25;blue
26;2;0.2;Place 26;P26;blue
27;5;0.2;Place 27;P27;blue
28;5;0.2;Place 28;P28;blue
29;7;0.2;Place 29;P29;blue
30;9;0.2;Place 30;P30;blue
31;2;0.2;Place 31;P31;blue
32;6;0.2;Place 32;P32;blue
