Id;x;Trait;C_p;Name;Alias
1;0;5.414165230996299;0.1;Place A;PA
2;1;6.98635141334472;0.1;Place A;PA
3;2;14.752933246345897;0.1;Place A;PA
4;3;12.536042956640964;0.1;Place A;PA
5;4;8.995569328528745;0.1;Place A;PA
6;5;4.962942010646876;0.1;Place A;PA
7;6;8.394079590459404;0.1;Place A;PA
8;7;7.488562910007846;0.1;Place A;PA
9;8;9.638537727789052;0.1;Place A;PA
10;9;12.728270756222434;0.1;Place A;PA
11;10;3.903013330552041;0.1;Place A;PA
12;11;14.386719412197335;0.1;Place A;PA
13;12;9.022765376781873;0.1;Place A;PA
14;13;16.050031185408788;0.1;Place A;PA
15;14;15.102062894329176;0.1;Place A;PA
16;15;7.585665937173897;0.1;Place A;PA
17;16;7.324003759747553;0.1;Place A;PA
18;17;4.919325642777743;0.1;Place A;PA
19;18;9.163935269943732;0.1;Place A;PA
20;19;9.240384075260994;0.1;Place A;PA
21;20;5.7259940502715585;0.1;Place B;PB
22;21;5.906209110137535;0.1;Place B;PB
23;22;10.49489458660072;0.1;Place B;PB
24;23;8.888642952451589;0.1;Place B;PB
25;24;4.54961826233062;0.1;Place B;PB
26;25;5.670714910441478;0.1;Place B;PB
27;26;9.862154509837739;0.1;Place B;PB
28;27;4.431043332383357;0.1;Place B;PB
29;28;9.141778725950623;0.1;Place B;PB
30;29;4.970479911078091;0.1;Place B;PB
31;30;4.667607055484053;0.1;Place B;PB
32;31;10.263800082090642;0.1;Place B;PB
33;32;4.302994543788251;0.1;Place B;PB
34;33;6.977218067994902;0.1;Place B;PB
35;34;13.313464050745093;0.1;Place B;PB
36;35;3.3504522433272856;0.1;Place B;PB
37;36;6.582482904059928;0.1;Place B;PB
38;37;7.739054432134676;0.1;Place B;PB
39;38;18.61556002734402;0.1;Place B;PB
40;39;8.672768432486476;0.1;Place B;PB
