Id;x;Trait;C_p;Name;Alias
1;0;5.0;0.1;Place A;PA
2;1;5.0;0.1;Place A;PA
3;2;5.0;0.1;Place A;PA
4;3;5.0;0.1;Place A;PA
5;4;5.0;0.1;Place A;PA
6;5;5.0;0.1;Place A;PA
7;6;5.0;0.1;Place A;PA
8;7;5.0;0.1;Place A;PA
9;8;5.0;0.1;Place A;PA
10;9;5.0;0.1;Place A;PA
11;10;5.0;0.1;Place A;PA
12;11;5.0;0.1;Place A;PA
13;12;5.0;0.1;Place A;PA
14;13;5.0;0.1;Place A;PA
15;14;5.0;0.1;Place A;PA
16;15;5.0;0.1;Place A;PA
17;16;5.0;0.1;Place A;PA
18;17;5.0;0.1;Place A;PA
19;18;5.0;0.1;Place A;PA
20;19;5.0;0.1;Place A;PA
21;20;5.0;0.1;Place B;PB
22;21;5.0;0.1;Place B;PB
23;22;5.0;0.1;Place B;PB
24;23;5.0;0.1;Place B;PB
25;24;5.0;0.1;Place B;PB
26;25;5.0;0.1;Place B;PB
27;26;5.0;0.1;Place B;PB
28;27;5.0;0.1;Place B;PB
29;28;5.0;0.1;Place B;PB
30;29;5.0;0.1;Place B;PB
31;30;5.0;0.1;Place B;PB
32;31;5.0;0.1;Place B;PB
33;32;5.0;0.1;Place B;PB
34;33;5.0;0.1;Place B;PB
35;34;5.0;0.1;Place B;PB
36;35;5.0;0.1;Place B;PB
37;36;5.0;0.1;Place B;PB
38;37;5.0;0.1;Place B;PB
39;38;5.0;0.1;Place B;PB
40;39;5.0;0.1;Place B;PB
