Step;A_1_Trait;A_2_Trait;A_3_Trait;A_4_Trait;A_5_Trait;A_6_Trait;A_7_Trait;H
0;20.0;20.0;1.0;1.0;1.0;1.0;1.0;0.86312056
1;20.0;20.0;1.039604;1.0360036;1.039604;1.0360036;1.039604;0.86312056
2;20.0;20.0;1.0788158;1.0752511;1.0788158;1.0752511;1.0788158;0.86312056
3;20.0;20.0;1.1176394;1.11411;1.1176394;1.110542;1.1176394;0.86312056
4;20.0;20.0;1.1525106;1.1490515;1.1525139;1.1454868;1.149337;0.86312056
5;20.0;20.0;1.1906046;1.1804706;1.1838727;1.180121;1.1778394;0.86312056
6;20.0;20.0;1.2652549;1.2087224;1.2120702;1.2057272;1.2011404;0.86312056
7;20.0;20.0;1.2953591;1.2395216;1.2374407;1.2432942;1.238753;0.86312056
8;20.0;20.0;1.3320388;1.2672161;1.2746938;1.2770742;1.2593327;0.86312056
9;20.0;20.0;1.4052886;1.3041743;1.3047045;1.3139349;1.2927686;0.86312056
10;20.0;20.0;1.4374168;1.3407667;1.337905;1.3436544;1.3109426;0.86312056
11;20.0;20.0;1.4606341;1.3625566;1.362014;1.3733697;1.3474679;0.86312056
12;20.0;20.0;1.5185066;1.395211;1.388432;1.3972737;1.3769536;0.86312056
13;20.0;20.0;1.5465931;1.4212918;1.409849;1.4127607;1.391234;0.86312056
14;20.0;20.0;1.6102576;1.4425582;1.4289742;1.4253885;1.4269644;0.86312056
15;20.0;20.0;1.6675041;1.471452;1.4501544;1.4607806;1.455701;0.86312056
16;20.0;20.0;1.6885179;1.5028586;1.4819748;1.4717848;1.4814346;0.86312056
17;20.0;20.0;1.7582383;1.5312645;1.5005187;1.4950198;1.5024617;0.86312056
18;20.0;20.0;1.7813978;1.5566533;1.5190651;1.526505;1.5120529;0.86312056
19;20.0;20.0;1.8022226;1.5768543;1.5447282;1.5349863;1.5308652;0.86312056
20;20.0;20.0;1.8305492;1.5925871;1.5725338;1.5426124;1.5617938;0.86312056
21;20.0;20.0;1.8922044;1.606734;1.5953345;1.559056;1.5896045;0.86312056
22;20.0;20.0;1.9165901;1.6271232;1.6097612;1.5836469;1.6233708;0.86312056
23;20.0;20.0;1.9310192;1.6431066;1.6227337;1.590098;1.6535544;0.86312056
24;20.0;20.0;1.9614052;1.6554672;1.6472393;1.6020857;1.6692556;0.86312056
25;20.0;20.0;1.9726257;1.6728534;1.6584352;1.6128651;1.6989129;0.86312056
26;20.0;20.0;2.0025997;1.6884869;1.6676767;1.6184404;1.7031294;1.3787835
27;20.0;20.0;2.0123925;1.7062131;1.6971406;1.6230704;1.7064999;1.3787835
28;20.0;20.0;2.021198;1.7200952;1.7051587;1.6310929;1.7202495;1.3787835
29;20.0;20.0;2.0479288;1.7325777;1.7147633;1.6443392;1.7314088;1.3787835
30;20.0;20.0;2.0642214;1.7482558;1.7233998;1.6742126;1.734193;1.3787835
