Step;A_1_x;A_2_x;A_3_x;A_4_x;A_5_x;A_6_x;A_7_x
0;5.0;10.0;15.0;20.0;25.0;30.0;35.0
1;8.0;10.0;19.0;19.0;27.0;27.0;37.0
2;10.0;11.0;12.0;17.0;26.0;29.0;32.0
3;4.0;12.0;20.0;22.0;24.0;29.0;33.0
4;3.0;8.0;17.0;22.0;26.0;32.0;32.0
5;6.0;10.0;16.0;22.0;26.0;33.0;32.0
6;6.0;11.0;10.0;22.0;26.0;32.0;32.0
7;6.0;14.0;19.0;17.0;22.0;31.0;36.0
8;2.0;11.0;15.0;17.0;25.0;31.0;32.0
9;6.0;12.0;11.0;21.0;27.0;28.0;37.0
10;9.0;6.0;16.0;23.0;25.0;29.0;32.0
11;4.0;14.0;17.0;22.0;26.0;31.0;34.0
12;8.0;10.0;12.0;21.0;27.0;27.0;33.0
13;10.0;12.0;16.0;19.0;26.0;32.0;32.0
14;8.0;10.0;12.0;17.0;22.0;32.0;35.0
15;10.0;14.0;12.0;21.0;27.0;30.0;37.0
16;8.0;5.0;19.0;20.0;23.0;32.0;33.0
17;9.0;6.0;14.0;23.0;26.0;33.0;33.0
18;8.0;8.0;16.0;21.0;27.0;30.0;32.0
19;1.0;10.0;16.0;19.0;23.0;32.0;33.0
20;10.0;10.0;15.0;22.0;25.0;32.0;36.0
21;10.0;10.0;11.0;22.0;23.0;27.0;36.0
22;0.0;9.0;20.0;23.0;27.0;29.0;38.0
23;0.0;12.0;17.0;17.0;27.0;32.0;35.0
24;2.0;5.0;13.0;22.0;25.0;27.0;33.0
25;10.0;12.0;17.0;19.0;22.0;27.0;34.0
26;8.0;10.0;18.0;19.0;27.0;32.0;32.0
27;9.0;8.0;17.0;23.0;24.0;32.0;32.0
28;10.0;8.0;17.0;19.0;27.0;27.0;33.0
29;5.0;12.0;13.0;19.0;22.0;33.0;33.0
30;8.0;5.0;16.0;23.0;22.0;28.0;32.0
