Step;P_1_Trait;P_2_Trait;P_3_Trait;P_4_Trait;P_5_Trait;P_6_Trait;P_7_Trait;P_8_Trait;P_9_Trait;P_10_Trait;P_11_Trait;P_12_Trait;P_13_Trait;P_14_Trait;P_15_Trait;P_16_Trait;P_17_Trait;P_18_Trait;P_19_Trait;P_20_Trait;P_21_Trait;P_22_Trait;P_23_Trait;P_24_Trait;P_25_Trait;P_26_Trait;P_27_Trait;P_28_Trait;P_29_Trait;P_30_Trait;P_31_Trait;P_32_Trait;P_33_Trait;P_34_Trait;P_35_Trait;P_36_Trait;P_37_Trait;P_38_Trait;P_39_Trait;P_40_Trait;H
0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;-0.0
1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;6.3636365;5.0;6.3636365;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.305785;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.305785;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.6363635;5.0;5.0;0.66493326
2;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;6.3636365;5.0;7.603306;6.3636365;4.639964;5.0;5.0;5.0;5.0;4.6396365;5.0;4.305785;5.0;5.0;5.0;5.0;5.0;5.0;4.639964;4.305785;5.0;4.6396365;5.0;5.0;4.639964;5.0;5.0;5.0;5.0;4.6363635;5.0;5.0;1.1498919
3;5.0;5.0;5.0;5.0;6.3636365;5.0;5.0;5.0;6.3636365;5.0;7.603306;6.3636365;6.0363307;5.0;5.0;5.0;5.0;4.6396365;5.0;4.305785;4.643529;5.0;4.6432047;5.0;4.643529;5.0;4.639964;4.305785;5.0;4.315602;5.0;5.0;4.639964;4.643529;5.0;5.0;5.0;4.6363635;5.0;5.0;1.4196069
4;5.0;5.0;5.0;6.3636365;6.3636365;5.0;5.0;5.0;7.603306;5.0;7.603306;6.3636365;6.0363307;5.0;5.0;5.0;5.0;4.319455;5.0;4.305785;4.643529;5.0;4.3223777;5.0;4.643529;5.0;4.3197527;4.305785;5.0;4.315602;5.0;5.0;4.0280647;4.643529;5.0;5.0;5.0;4.6363635;5.0;5.0;1.5195363
5;5.0;5.0;5.0;6.3636365;6.3636365;5.0;6.3636365;5.0;7.603306;5.0;8.730278;6.3636365;6.0363307;5.0;5.0;5.0;4.650228;4.319455;5.0;4.305785;4.643529;5.0;4.0338936;5.0;4.643529;5.0;4.0318217;4.305785;5.0;4.315602;5.0;5.0;3.7663624;4.325525;5.0;5.0;5.0;4.6363635;5.0;5.0;1.7743767
6;5.0;5.0;5.0;6.3636365;6.3636365;5.0;7.603306;5.0;7.603306;5.0;8.044853;7.603306;6.0363307;5.0;5.0;5.0;4.650228;4.319455;5.0;4.305785;4.643529;5.0;3.7744915;5.0;4.643529;5.0;3.7729175;4.305785;5.0;4.315602;5.0;5.0;3.3173032;4.325525;5.0;5.0;5.0;4.6363635;5.0;5.0;1.9461118
7;5.0;5.0;5.0;6.3636365;6.3636365;5.0;8.730278;5.0;7.603306;5.0;8.044853;7.603306;6.0363307;5.0;6.3636365;5.0;4.650228;4.036661;5.0;4.029373;4.643529;5.0;3.5415442;5.0;4.643529;5.0;3.7729175;4.305785;5.0;4.315602;5.0;4.655066;3.3173032;4.325525;5.0;5.0;4.6546493;4.6363635;5.0;5.0;2.0752459
8;5.0;5.0;6.3636365;6.3636365;6.3636365;5.0;8.730278;5.0;7.603306;5.0;8.044853;8.730278;6.0363307;5.0;6.3636365;4.6632147;4.650228;3.7823758;5.0;4.029373;4.643529;5.0;3.5415442;5.0;4.643529;4.657949;3.7729175;4.305785;5.0;4.315602;5.0;4.344905;3.128344;4.325525;5.0;5.0;4.6546493;4.6363635;5.0;5.0;2.1722422
9;5.0;5.0;6.3636365;6.3636365;6.3636365;5.0;9.754798;5.0;7.603306;5.0;8.044853;8.057711;7.305755;5.0;6.3636365;4.6632147;4.650228;3.7823758;5.0;4.029373;4.643529;4.660656;3.5415442;5.0;4.643529;4.657949;3.7729175;4.0302315;4.6615524;4.315602;5.0;4.344905;3.128344;4.325525;5.0;5.0;4.6546493;4.329361;5.0;5.0;2.286711
10;5.0;5.0;6.3636365;6.3636365;6.3636365;5.0;10.68618;5.0;7.603306;6.3636365;8.044853;8.057711;7.305755;5.0;6.3636365;4.6632147;4.3552337;3.7823758;5.0;4.029373;4.643529;4.660656;3.5415442;4.664016;4.643529;4.353109;3.7729175;4.0302315;4.6615524;4.0427227;5.0;4.344905;2.9614735;4.325525;5.0;5.0;4.6546493;4.329361;5.0;5.0;2.3963873
11;5.0;5.0;6.3636365;6.3636365;7.603306;5.0;10.68618;5.0;7.603306;6.3636365;8.044853;8.057711;7.305755;5.0;7.603306;4.6632147;4.3552337;3.5691977;5.0;4.029373;4.643529;4.660656;3.3414736;4.664016;4.643529;4.353109;3.5515525;4.0302315;4.6615524;4.0427227;5.0;4.072064;2.9614735;4.325525;4.6646314;5.0;4.6546493;4.329361;5.0;5.0;2.4037018
12;5.0;5.0;6.3636365;6.3636365;7.603306;5.0;10.68618;5.0;8.730278;6.3636365;9.131684;8.057711;6.7743807;5.0;7.603306;4.6632147;4.3552337;3.5691977;5.0;4.029373;4.643529;4.360829;3.3414736;4.664016;4.643529;4.353109;3.5515525;3.5681846;4.6615524;4.0427227;5.0;4.072064;2.9614735;4.0547924;4.6646314;5.0;4.6546493;4.329361;5.0;5.0;2.5263622
13;5.0;5.0;6.3636365;6.3636365;7.603306;5.0;10.68618;5.0;8.730278;6.3636365;10.119714;8.057711;7.97671;5.0;7.603306;4.6632147;4.0973496;3.5691977;5.0;3.7899039;4.643529;4.360829;3.3414736;4.664016;4.643529;4.353109;3.3549054;3.5681846;4.6615524;4.0427227;5.0;4.072064;2.6881535;4.0547924;4.6646314;5.0;4.6546493;4.329361;5.0;5.0;2.5308864
14;5.0;5.0;6.3636365;6.3636365;7.603306;5.0;10.68618;5.0;9.754798;6.3636365;11.017921;8.057711;7.3921537;5.0;7.603306;4.6632147;4.0973496;3.3739336;5.0;3.7899039;4.643529;4.360829;3.1658711;4.664016;4.643529;4.353109;3.3549054;3.5681846;4.6615524;4.0427227;5.0;4.072064;2.5722086;4.0547924;4.6646314;4.6719303;4.6546493;4.329361;5.0;5.0;2.6156256
15;5.0;5.0;6.3636365;6.3636365;7.603306;5.0;10.68618;5.0;9.754798;6.3636365;11.834474;8.057711;6.8665266;5.0;8.730278;4.6632147;4.0973496;3.3739336;5.0;3.7899039;4.643529;4.0955315;3.1658711;4.664016;4.643529;4.353109;3.3549054;3.3737109;4.6615524;4.0427227;4.6750355;4.072064;2.5722086;4.0547924;4.6646314;4.6719303;4.6546493;4.0655065;5.0;5.0;2.581687
16;5.0;5.0;6.3636365;6.3636365;7.603306;6.3636365;10.68618;5.0;10.68618;6.3636365;11.834474;8.057711;6.8665266;5.0;8.730278;4.6632147;4.0973496;3.3739336;5.0;3.5969586;4.3551583;4.0955315;3.1658711;4.3718467;4.643529;4.353109;3.3549054;3.3737109;4.6615524;4.0427227;4.6750355;4.072064;2.4711697;3.8185115;4.6646314;4.6719303;4.6546493;4.0655065;5.0;5.0;2.5875716
17;5.0;5.0;6.3636365;6.3636365;7.603306;6.3636365;11.532891;5.0;10.68618;7.603306;11.834474;8.057711;6.8665266;5.0;8.090118;4.6632147;4.0973496;3.3739336;5.0;3.5969586;4.3551583;4.0955315;3.1658711;4.1110296;4.643529;4.353109;3.184639;3.3737109;4.6615524;4.0427227;4.6750355;4.072064;2.4711697;3.4121056;4.6646314;4.6719303;4.6546493;4.0655065;5.0;5.0;2.6278126
